fromId,toId,weight
965807865,1960604065,20917
965807863,965807865,15853
1980631971,965807863,10761
2396020509,1980631971,5334
698846376,2396020509,2882
3283938222,327138,4007
3283938220,3283938222,4041
3283938219,3283938220,7380
1660461435,8087571,9714
1868079192,1660461435,9702
1868079194,1868079192,3477
2748984395,2748984398,4477
877772278,2748984395,3385
1326933311,877772278,2519
2748984396,1326933311,2688
798407524,2748984396,1877
3403682886,798407524,6819
1660004842,3403682886,6528
1594581115,25893988,5105
1587039417,1594581115,1535
1594581103,1587039417,2331
1587039415,1594581103,3452
1594581085,1587039415,1187
1594581077,1594581085,2579
1594581065,1594581077,4943
1594581059,1594581065,1707
1668931479,1594581059,5460
1668241056,1668931479,2022
21751277,21751276,4095
1711720600,1711720599,1693
2017160744,327942,885
1425907719,2017160744,5585
977671891,1425907719,17214
5179985425,977671891,4539
1898769488,5179985425,449
1544830898,1898769488,526
5603202983,1454835494,469
1455826758,5603202983,3132
1251298990,1455826758,1200
5483619051,1251298990,2469
21991357,5483619051,746
415166560,1250344827,7670
1119716271,415166560,8160
265301065,21626694,1699
265301062,265301065,5622
21626700,265301062,2202
21626702,21626700,4120
392697479,21626702,16802
1837424939,392697479,1191
3531834395,1574336562,1101
1480465725,3531834395,13303
1480465722,1480465725,3071
1480465717,1480465722,1938
1480465715,1480465717,992
25720872,1480465715,908
3242944864,25720872,1191
25720873,3242944864,1261
10595330,26054611,7040
2520350003,342394,2102
1501985502,2520350003,7030
1243064587,1501985502,2899
1502371689,1243064587,4180
3896403091,1502371689,3197
2012638799,3896403091,35924
1884322515,2012638799,442
1501985506,1884322515,15067
3695731401,1501985506,5749
5002136689,3695731401,1979
4184474997,245906,1940
4184474990,4184474997,520
4184224508,4184474990,1661
4184224505,4184224508,2868
4184224500,4184224505,2191
4184224498,4184224500,3498
4184224492,4184224498,603
967687186,4184224492,8991
4184474153,967687186,3758
4626637063,4184474153,3887
1595630411,4626637063,400
1595630381,1595630411,418
2078615595,369610155,2168
1572442277,2078615595,2102
1862673338,259010,1836
1131075783,1862673338,2558
5083898398,1570984854,437
3182505819,5083898398,1320
3926259439,3182505819,4972
1447263737,3926259439,1069
3926259436,1447263737,8217
1447263730,3926259436,7259
3926259433,1447263730,4742
318453155,3926259433,445
5690937861,318453155,5780
806551104,5690937861,276
21742754,806551104,2196
793462778,26056286,1695
5298252316,793462778,528
5298252318,5298252316,2803
5298252319,5298252318,3234
674683029,5298252319,14000
1395097275,674683029,11957
1395097274,1395097275,5267
3723904177,1395097274,1608
3723904176,3723904177,1244
25720193,25720192,2294
3782354342,3406752226,6620
233453,3782354342,9416
3782069042,233453,2303
4176079447,411714266,453
411714267,4176079447,5039
3811706081,411714267,13904
1383383806,3811706081,24566
1834821167,1383383806,6051
1660004831,1660004834,9481
1660004827,1660004831,1846
798407545,1660004827,1567
1416239313,1416239315,1129
1416239297,1416239313,466
1416239290,1416239297,578
4606882034,22320566,1673
1834399459,4606882034,2146
1023022046,1834399459,5353
856349469,1023022046,8740
6024381411,856349469,5556
856349423,6024381411,2690
22320093,856349423,6483
2158354141,10591333,3275
1840331345,2158354141,5360
1780598003,1840331345,4439
1780598116,1780598003,12010
1705503598,1780598116,9883
2255313629,1705503598,3273
424094255,2255313629,2389
6074596652,424094255,2374
2997825904,6074596652,833
6074596653,2997825904,877
1248820331,6074596653,720
1686544026,1892185854,353
6044151040,1686544026,1806
3067848584,6044151040,3987
2910164918,3067848584,24522
6044166093,2910164918,12724
1418040695,6044166093,981
4742842205,1418040695,716
4908937769,4742842205,8605
4742842189,4908937769,9659
1892185836,4742842189,5756
2318826258,252804344,1903
1143996864,2318826258,886
1143996897,1143996864,3901
4867856573,1143996897,5725
5644313536,4867856573,1009
21992647,5644313536,873
5579447915,21992647,585
2318826661,5579447915,6282
2318826776,2318826661,3437
2482171350,2318826776,4948
1525448871,2482171350,1582
2061171464,306504,1496
1417528582,2061171464,3389
1417528599,1417528582,2099
4461199726,1417528599,2038
4461199733,4461199726,6349
1417528642,4461199733,8716
2562500709,1417528642,3095
2061171466,2562500709,9603
306538,2061171466,1553
1796929903,25896895,2230
1796929906,1796929903,2055
2379606168,1796929906,680
1796929910,2379606168,1518
3152098737,25716292,583
999271061,3152098737,7225
999271075,999271061,15072
3182623534,999271075,15656
4138202801,3182623534,763
1693213447,4138202801,2081
3691045313,83811500,1187
1918462022,3691045313,9266
3691045307,1918462022,953
1524294179,3691045307,5405
1918462066,1524294179,481
2659266467,1918462066,15173
25718118,2659266467,1302
1819642677,1819642679,1658
1819642673,1819642677,2090
1819642670,1819642673,2888
1819642666,1819642670,4624
1819642648,1819642666,23007
441111023,1819642648,7615
5916560104,6299477,9286
5905403417,5916560104,7994
1523256160,5905403417,2204
1800478540,1523256160,4027
2750510232,1800478540,4787
3459782130,2750510232,2199
1800478543,3459782130,1595
1804885241,1800478543,1994
25893817,1804885241,5341
1253624397,315027,2233
2239766725,1253624397,1505
2239766726,2239766725,1367
2239766729,2239766726,1262
2239766728,2239766729,1240
2239766727,2239766728,1494
2367114704,26082065,1734
2367895687,2367114704,8155
2367895678,2367895687,1382
2367895667,2367895678,1514
2367895659,2367895667,6268
1224141452,2367895659,1496
2367114601,1224141452,2294
2367895643,2367114601,1657
1974932226,2367895643,8129
1224142199,1974932226,9609
1203072698,1224142199,1837
2367114489,1203072698,4782
1203072701,2367114489,8299
246372,1203072701,3205
3333610592,306692,816
1673704458,3333610592,9613
5140376734,1673704458,6069
1673704475,5140376734,2403
1673704501,1673704475,2967
2661549965,1673704501,2487
306695,2661549965,1502
3695731372,3695731351,2307
4499302864,3695731372,8797
3695731367,4499302864,32747
342394,3695731367,4389
3278663294,1836433109,1374
4732911000,3278663294,1203
4416959706,4732911000,16579
1611770000,4416959706,23857
4732911008,1611770000,907
4732911001,4732911008,1023
4056368311,4732911001,1321
4056368308,4056368311,1301
949673756,5037259576,758
4657656481,949673756,10380
949673715,4657656481,333
21991208,949673715,425
5769950452,223634,3148
4127547117,5769950452,20694
3382584913,4127547117,2461
1732185843,25718184,868
1732185816,1732185843,1063
1732185825,1732185816,1147
1659719402,21597515,2310
1753132278,1659719402,2216
1674398124,1753132278,6078
26054906,1674398124,2067
941904838,26054906,7177
1753132452,941904838,4441
1753132531,1753132452,6831
941904899,1753132531,10570
1753132841,941904899,15436
941905032,1753132841,2626
1753132971,941905032,4895
951330536,1753132971,7240
951330509,951330536,11035
1685424652,951330509,15236
1685424674,1685424652,8547
1685424681,1685424674,2985
1685424706,1685424681,6852
1753133420,1685424706,516
1708343655,1753133420,5644
940044078,1708343655,16594
21755971,940044078,2248
3848148602,353954847,815
2485602579,3848148602,929
3071914461,2485602579,4361
2396020624,1943683551,1001
4775810136,2396020624,18054
4775810131,4775810136,4902
1145312058,4775810131,19987
307289,1145312058,1218
3925769468,307289,1475
3617962201,3925769468,10561
3618016311,3617962201,3259
3618016312,3618016311,7135
3618016313,3618016312,2746
3618016314,3618016313,4366
3925799872,3618016314,6567
1562026717,3925799872,743
3925799874,1562026717,285
3632919777,3925799874,4901
3618016315,3632919777,4861
3618045025,3618016315,2122
3618016316,3618045025,2589
3618045026,3618016316,2319
3618016317,3618045026,210
1449693072,3618016317,2707
3618016318,1449693072,956
